number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
102,Eintracht Frankfurt,Wolfsburg,0,2,69,31,17,9,9,6,4,1,4,2,12,1,2,3,13,23,3,5,0,1,22,13,,,4,8,1,2,1,1,,,0,1,,,12,6,5,3,4,9,458,217,365,130,32,18,14,2,11,8,,,65,59,20,23,13,15,10,8,,
120,Augsburg,1. FSV Mainz 05,2,1,50,50,18,12,5,3,10,3,3,6,8,2,0,3,15,15,2,2,0,0,14,13,,,5,13,3,0,1,0,2,0,1,0,,,13,3,5,9,2,3,351,350,250,243,27,32,3,4,9,5,,,52,51,26,12,4,21,11,9,,
99,Borussia Dortmund,SC Paderborn 07,3,3,67,33,17,9,7,4,8,4,2,1,10,2,4,5,9,7,3,1,0,0,7,9,,,7,10,3,4,1,1,,,1,5,,,14,8,3,1,1,4,723,355,631,270,26,21,5,4,18,11,,,60,55,9,12,26,23,18,16,,
111,SC Paderborn 07,RB Leipzig,2,3,51,49,8,18,4,6,3,6,1,6,6,6,4,3,10,13,3,3,0,0,13,10,,,6,6,3,1,2,0,,,1,2,,,6,14,2,4,3,2,490,463,388,373,16,22,0,5,17,19,,,59,68,16,17,14,22,14,8,,
122,Freiburg,Wolfsburg,1,0,49,51,10,10,3,0,4,7,3,3,2,7,1,1,14,21,0,2,0,0,20,13,,,9,6,0,3,0,3,,,,,,,4,8,6,2,0,2,378,376,276,266,39,26,4,6,9,7,,,60,56,21,21,11,16,5,5,,
113,Bayern München,Bayer 04 Leverkusen,1,2,74,26,23,11,11,7,10,2,2,2,8,2,4,4,9,16,1,3,0,1,16,9,,,6,12,4,3,4,2,3,0,0,3,,,14,5,9,6,5,10,708,241,618,161,35,22,8,1,9,8,,,56,36,16,8,15,12,9,18,,
124,1. FC Union Berlin,1. FC Köln,2,0,55,45,12,14,5,4,7,7,0,3,3,5,1,0,21,19,1,3,0,0,17,21,,,9,11,3,1,1,1,,,2,0,,,9,9,3,5,4,3,437,353,318,223,38,34,9,4,9,5,,,89,75,47,28,18,22,14,17,,
117,Eintracht Frankfurt,Hertha BSC,2,2,63,37,25,9,6,3,14,5,5,1,16,1,2,1,11,15,3,4,0,0,15,10,,,5,18,4,2,2,0,,,,,,,19,5,6,4,1,4,467,287,369,185,26,26,13,4,18,11,,,64,73,20,36,12,16,6,13,,
123,Bayer 04 Leverkusen,FC Schalke 04,2,1,56,44,19,5,9,3,6,2,4,0,9,0,3,3,13,13,2,2,0,0,11,12,,,7,8,5,3,3,2,,,3,0,,,14,4,5,1,2,7,478,385,366,254,34,22,8,2,10,19,,,73,74,24,18,29,25,11,12,,
119,Borussia M'gladbach,Bayern München,2,1,37,63,7,16,3,5,3,7,1,4,2,5,5,1,14,18,3,5,0,1,17,12,,,11,4,2,2,0,2,,,,,,,5,13,2,3,5,1,323,531,235,444,29,38,2,8,20,22,,,70,61,14,14,19,13,23,13,,
127,1. FC Köln,Bayer 04 Leverkusen,2,0,38,62,13,6,5,2,4,2,4,2,3,4,8,2,14,12,2,2,0,2,9,12,,,8,9,3,0,1,0,,,,,,,9,2,4,4,2,3,380,610,280,521,29,23,3,0,7,10,,,49,55,11,14,22,19,25,8,,
126,1899 Hoffenheim,Augsburg,2,4,76,24,19,6,8,4,7,1,4,1,11,1,6,5,10,7,1,0,0,0,7,10,,,4,12,3,4,2,0,1,0,0,4,,,12,5,7,1,0,6,658,212,575,135,34,21,9,1,15,6,,,44,48,11,21,11,11,5,14,,
131,SC Paderborn 07,1. FC Union Berlin,1,1,56,44,13,16,3,2,4,9,6,5,2,3,1,2,19,16,2,4,0,0,16,19,,,11,3,1,2,0,2,0,1,1,0,,,8,11,5,5,1,2,442,322,340,213,22,41,3,9,10,9,,,63,77,21,27,17,22,13,10,,
137,Borussia Dortmund,RB Leipzig,3,3,56,44,14,12,6,8,4,2,4,2,12,3,3,3,9,5,,,0,0,5,9,,,3,6,3,6,1,3,,,,,,,12,8,2,4,5,3,636,509,540,389,33,21,4,3,22,9,,,57,56,11,9,19,29,18,18,,
134,FC Schalke 04,Eintracht Frankfurt,1,0,50,50,11,18,5,3,4,9,2,6,7,6,3,0,15,12,1,4,1,0,12,15,,,12,5,2,1,1,1,1,0,3,0,,,6,10,5,8,3,4,390,379,308,287,27,33,3,11,16,6,,,60,80,21,31,11,28,7,7,,
129,Bayern München,Werder Bremen,6,1,73,27,28,10,14,2,9,5,5,3,8,2,0,3,15,13,2,2,0,0,12,13,,,6,15,10,0,5,0,,,0,2,,,16,9,12,1,1,8,738,272,657,191,38,23,10,4,13,11,,,42,54,4,11,13,20,6,19,,
132,Fortuna Düsseldorf,RB Leipzig,0,3,30,70,4,22,1,7,2,9,1,6,3,9,,,12,10,2,1,0,0,10,11,,,13,6,0,7,0,6,1,0,,,,,1,18,3,4,4,1,298,689,224,633,32,15,3,12,6,5,,,44,45,8,16,21,13,6,7,,
