round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possesion_home,possesion_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
13,Curicó Unido,Huachipato,1,0,,,37,63,16,12,6,2,8,6,2,4,7,3,3,2,14,15,4,6,0,0,15,12,19,37,7,10,,,,,,,,,7,4,9,8,2,5,243,418,168,327,,,,,,,127,153,63,45,10,15,,,,,,
13,Everton de Viña del Mar,Colo Colo,2,3,,,47,53,10,14,4,6,4,5,2,3,5,5,2,1,14,16,2,4,0,0,16,13,16,21,7,7,,,,,,,,,6,8,4,6,3,2,319,362,239,295,,,,,,,128,116,56,63,17,17,,,,,,
13,Antofagasta,Santiago Wanderers,2,2,,,45,55,13,17,4,5,8,10,1,2,4,7,5,1,15,9,1,0,0,0,8,14,30,25,10,11,,,,,,,,,8,13,5,4,3,2,337,387,222,269,,,,,,,181,182,62,63,28,26,,,,,,
13,Unión Española,Deportes Temuco,1,1,,,47,53,24,10,7,2,10,4,7,4,4,5,1,3,13,11,2,2,0,0,10,12,34,13,7,10,,,,,,,,,9,7,15,3,1,6,365,410,278,320,,,,,,,143,143,51,51,26,21,,,,,,
14,O'Higgins,Huachipato,1,0,,,41,59,7,11,3,2,3,6,1,3,0,10,3,1,10,17,3,4,1,0,15,7,22,34,11,6,,,,,,,,,5,3,2,8,2,2,311,423,220,328,,,,,,,124,166,46,40,8,16,,,,,,
14,Deportes Iquique,San Luis de Quillota,2,1,,,45,55,13,5,6,2,6,1,1,2,7,4,1,4,26,14,1,2,0,0,9,25,23,34,4,10,,,,,,,,,7,4,6,1,1,4,346,415,222,295,,,,,,,177,204,53,64,17,22,,,,,,
14,Audax Italiano,Unión Española,0,2,,,48,52,9,14,3,7,4,7,2,0,4,7,1,0,12,18,2,5,0,0,16,11,30,30,11,12,,,,,,,,,4,8,5,6,5,3,278,288,191,201,,,,,,,147,156,70,49,26,20,,,,,,
14,Colo Colo,Curicó Unido,3,2,,,59,41,14,11,7,4,5,5,2,2,4,5,3,1,13,18,2,3,0,0,17,13,21,8,10,9,,,,,,,,,8,3,6,8,2,4,457,300,393,235,,,,,,,122,117,57,45,11,7,,,,,,
14,Universidad de Concepción,Universidad de Chile,1,3,,,47,53,18,14,4,6,9,6,5,2,3,4,0,1,13,19,2,3,1,0,18,12,18,23,8,11,,,,,,,,,10,10,8,4,3,3,382,430,303,349,,,,,,,137,132,57,52,13,8,,,,,,
14,Everton de Viña del Mar,Antofagasta,1,0,,,44,56,10,11,4,0,3,7,3,4,3,5,3,0,18,17,2,3,0,0,16,15,29,21,7,7,,,,,,,,,4,5,6,6,0,3,365,448,259,342,,,,,,,163,171,70,65,22,29,,,,,,
14,Santiago Wanderers,Deportes Temuco,1,1,,,50,50,12,8,5,4,3,4,4,0,4,6,0,8,14,22,3,2,0,0,21,14,19,33,8,10,,,,,,,,,7,6,5,2,2,4,336,333,235,249,,,,,,,146,158,71,52,24,25,,,,,,
14,Universidad Católica,Palestino,4,1,,,59,41,14,11,7,1,6,7,1,3,6,6,7,3,13,20,3,4,0,0,15,13,13,16,11,8,,,,,,,,,11,6,3,5,0,3,471,318,412,257,,,,,,,108,112,50,37,9,5,,,,,,
15,Deportes Temuco,Universidad de Concepción,1,1,,,49,51,20,15,6,4,8,10,6,1,3,1,3,1,16,25,3,3,0,0,24,16,26,22,8,12,,,,,,,,,15,6,5,9,3,5,355,385,261,287,,,,,,,157,139,69,58,21,20,,,,,,
15,Huachipato,Colo Colo,0,3,,,46,54,3,26,1,12,2,7,0,7,4,7,1,0,27,17,1,1,0,0,16,24,15,20,10,7,,,,,,,,,1,15,2,11,9,1,316,365,228,269,,,,,,,157,154,61,80,11,19,,,,,,
15,Unión Española,Everton de Viña del Mar,2,0,,,40,60,12,6,4,3,6,3,2,0,6,2,2,3,13,11,2,3,0,0,11,11,16,21,11,15,,,,,,,,,6,1,6,5,3,2,323,475,246,390,,,,,,,122,133,38,37,8,6,,,,,,
15,Universidad de Chile,Deportes Iquique,1,0,,,68,32,11,5,4,2,2,3,5,0,8,1,1,1,14,16,2,3,0,1,16,13,32,19,8,8,,,,,,,,,8,2,3,3,2,3,453,216,387,131,,,,,,,129,115,52,46,19,10,,,,,,
15,San Luis de Quillota,Audax Italiano,1,1,,,62,38,9,13,5,4,2,6,2,3,5,6,3,0,21,24,3,4,0,0,23,20,29,26,7,5,,,,,,,,,6,8,3,5,2,4,414,256,311,149,,,,,,,167,146,59,55,21,28,,,,,,
15,Antofagasta,Universidad Católica,2,4,,,44,56,17,16,8,8,4,4,5,4,5,6,3,2,17,14,1,6,0,0,14,16,20,26,2,11,,,,,,,,,7,13,10,3,4,6,334,419,241,316,,,,,,,164,167,88,74,27,19,,,,,,
15,Curicó Unido,O'Higgins,1,0,,,33,67,4,6,1,0,2,3,1,3,2,5,3,5,11,15,1,2,0,0,15,11,28,37,3,4,,,,,,,,,3,4,1,2,,,246,481,165,380,,,,,,,129,152,51,45,17,15,,,,,,
15,Palestino,Santiago Wanderers,0,0,,,51,49,10,11,1,2,5,6,4,3,2,5,2,4,11,18,2,2,0,0,17,8,31,24,8,12,,,,,,,,,6,6,4,5,2,1,364,328,278,235,,,,,,,136,147,41,50,12,10,,,,,,
