number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
261,Stade Rennais,Nîmes Olympique,2,1,64,36,26,8,8,2,6,2,12,4,10,1,1,2,11,5,0,1,0,1,5,9,,,3,10,3,0,2,0,,,1,1,,,13,3,13,5,1,6,577,334,495,250,23,15,11,1,11,8,,,50,57,22,17,12,24,4,12,,
275,Angers,FC Nantes,2,0,45,55,8,15,3,4,2,8,3,3,4,6,3,1,9,6,0,3,0,0,5,9,,,12,3,2,2,2,2,,,1,0,,,3,8,5,7,4,1,465,560,371,471,22,24,2,4,14,6,,,50,60,8,26,23,19,11,11,,
263,Nîmes Olympique,Olympique de Marseille,2,3,48,52,16,13,6,4,6,6,4,3,8,9,1,1,15,14,4,3,0,0,13,14,,,8,7,4,3,2,0,,,0,2,,,6,8,10,5,1,4,338,381,245,285,22,23,4,3,10,13,,,69,77,23,26,23,26,12,6,,
271,Bordeaux,OGC Nice,1,1,41,59,12,9,4,4,5,4,3,1,10,3,2,0,18,12,3,3,0,0,12,18,,,7,6,3,0,2,0,1,1,2,0,,,11,4,1,5,3,3,393,581,325,508,31,29,7,2,12,18,,,46,70,6,12,16,22,17,7,,
270,FC Nantes,Lille OSC,0,1,51,49,6,15,3,5,2,6,1,4,3,12,2,3,13,13,4,3,0,0,12,12,,,8,10,0,4,0,4,,,,,,,3,12,3,3,4,3,391,369,277,266,25,36,3,8,7,14,,,47,69,18,29,10,14,11,12,,
279,Stade de Reims,Stade Brestois 29,1,0,48,52,12,12,3,4,7,6,2,2,5,5,1,0,7,13,3,2,1,0,13,7,,,10,12,1,1,0,1,1,0,,,,,10,6,2,6,4,2,468,497,395,427,33,29,6,4,5,10,,,46,47,16,15,13,15,10,13,,
276,Dijon,Toulouse,2,1,56,44,14,6,3,2,7,2,4,2,5,1,2,1,14,17,2,2,0,0,16,13,,,6,9,0,2,0,2,,,,,,,8,4,6,2,1,1,500,410,405,299,39,16,5,1,13,11,,,77,56,29,14,20,18,17,14,,
278,OGC Nice,AS Monaco,2,1,51,49,12,14,5,4,3,7,4,3,6,3,1,0,11,15,1,4,0,1,15,11,,,10,7,2,2,0,1,0,2,1,3,,,7,6,5,8,3,3,515,500,450,423,36,34,2,7,15,14,,,53,54,6,11,17,20,14,11,,
269,Toulouse,Stade Rennais,0,2,41,59,15,11,2,4,8,7,5,0,9,3,1,5,13,12,3,1,0,0,12,13,,,8,6,0,2,0,1,0,2,,,,,10,5,5,6,2,2,375,589,295,514,12,38,11,3,8,7,,,54,64,19,25,15,20,9,8,,
266,AS Monaco,Stade de Reims,1,1,57,43,19,16,7,8,6,3,6,5,3,2,1,4,20,13,2,3,0,0,12,17,,,7,6,2,2,1,2,3,0,0,1,,,11,8,8,8,7,6,527,394,437,318,35,23,7,4,12,16,,,61,56,22,7,16,16,10,15,,
268,Stade Brestois 29,Angers,0,1,65,35,16,6,4,2,7,3,5,1,12,0,1,1,12,9,3,1,0,0,5,11,,,4,15,,,,,,,,,,,9,3,7,3,1,4,605,340,530,263,65,31,7,2,7,8,,,37,49,15,25,10,8,11,6,,
272,Olympique Lyonnais,Saint-Étienne,2,0,66,34,16,8,9,4,4,3,3,1,5,4,4,0,15,14,4,4,0,0,13,13,,,4,6,4,0,2,0,,,3,0,,,13,2,3,6,4,7,555,281,473,196,28,15,5,1,8,4,,,63,55,28,23,15,16,6,12,,
281,Stade Rennais,Montpellier,5,0,54,46,16,11,9,1,5,5,2,5,2,7,,,9,10,2,3,0,0,10,8,,,4,10,5,1,2,1,0,2,1,2,,,8,8,8,3,1,4,509,413,451,352,24,30,1,4,14,8,,,42,36,4,11,14,9,11,10,,
277,Metz,Nîmes Olympique,2,1,57,43,14,16,5,7,7,4,2,5,8,6,2,1,9,11,,,0,0,9,9,,,8,12,2,2,0,1,,,0,1,,,9,9,5,7,6,3,431,332,327,231,43,24,4,2,15,6,,,66,66,26,31,17,22,14,7,,
282,Lille OSC,Olympique Lyonnais,1,0,43,57,12,9,3,2,8,5,1,2,4,3,0,2,21,13,1,3,0,0,13,18,,,6,15,4,2,3,2,1,0,0,1,,,5,6,7,3,2,2,369,490,270,387,22,31,2,1,13,10,,,55,68,22,18,8,23,12,17,,
280,Saint-Étienne,Bordeaux,1,1,52,48,11,8,4,2,2,3,5,3,7,4,1,2,14,17,4,3,1,0,15,13,,,7,13,1,1,,,,,0,1,,,7,5,4,3,1,3,448,424,360,328,26,21,7,0,9,10,,,56,58,22,17,12,20,11,9,,
